,esponame,koboname,type
0,safetyFence,A_fence_or_perimeter_wall_is_e,enum
1,addressVerification,Address,text
2,photoBathroom1,Bathroom,attachment
3,photoBathroom2,Bathroom_001,attachment
4,photoBathroom3,Bathroom_002,attachment
5,photoBedroom1,Bedroom_1,attachment
6,photoBedroom2,Bedroom_2_Other_ph_of_the_housing_unit,attachment
7,nameVerification,Beneficiary_name_and_surname,text
8,hostproveownership,Can_the_Host_family_Landlord,enum
9,hostcommitsixmonths,Does_the_host_family_Landlor,enum
10,photoKitchen,Kitchen_living_room,attachment
11,numberofbedroomstext,Number_of_bedrooms,text
12,numberofbedrooms,Number_of_bedrooms,integer
13,photoHousing1,Other_photo_of_the_housing_unit,attachment
14,photoHousing2,Other_photo_of_the_housing_unit_001,attachment
15,photoOwnership,Photo_of_property_title_if_possible,attachment
16,hostdetails,Please_provide_additional_details,text
17,housingDetails,Please_provide_additional_details_001,text
18,safetyDetails,Please_provide_additional_details_002,text
19,habitabilityDetails,Please_provide_additional_details_003,text
20,utilitiesDetails,Please_provide_additional_details_004,text
21,kitchenDetails,Please_provide_additional_details_005,text
22,bedroomDetails,Please_provide_additional_details_006,text
23,accessibilityDetails,Please_provide_additional_details_007,text
24,shelterIDVerification,Shelter_Case_Identifier,text
25,safetyLockinternal,The_entrance_door_is_lockable,enum
26,safetyLockexternal,The_entrance_door_is_lockable_,enum
27,safetyBalconies,The_entrance_door_is_lockable__001,enum
28,safetyGasconnection,The_entrance_door_is_lockable__002,enum
29,safetyStructure,The_entrance_door_is_lockable__003,enum
30,habitabilityPaint,The_entrance_door_is_lockable__004,enum
31,habitabilityDry,The_entrance_door_is_lockable__005,enum
32,habitabilityVentilated,The_entrance_door_is_lockable__006,enum
33,habitabilitySealed,The_entrance_door_is_lockable__007,enum
34,utilitiesHeating,The_entrance_door_is_lockable__008,enum
35,utilitiesElectricity,The_entrance_door_is_lockable__009,enum
36,utilitiesLightning,The_entrance_door_is_lockable__010,enum
37,utilitiesWater,The_entrance_door_is_lockable__011,enum
38,utilitiesWaterstorage,The_entrance_door_is_lockable__012,enum
39,utilitiesBathroom,The_entrance_door_is_lockable__013,enum
40,utilitiesSeptic,The_entrance_door_is_lockable__014,enum
41,utilitiesHeater,The_entrance_door_is_lockable__015,enum
42,kitchenCook,The_entrance_door_is_lockable__016,enum
43,kitchenCookware,The_entrance_door_is_lockable__017,enum
44,kitchenDining,The_entrance_door_is_lockable__018,enum
45,bedroomBed,The_entrance_door_is_lockable__019,enum
46,bedroomSharing,The_entrance_door_is_lockable__020,enum
47,bedroomWardrobe,The_entrance_door_is_lockable__021,enum
48,bedroomMattress,The_entrance_door_is_lockable__022,enum
49,accessibilityDisabilityproperty,The_entrance_door_is_lockable__023,enum
50,bedroomPillow,The_entrance_door_is_lockable__024,enum
51,accessibilityDisabilityhouse,The_entrance_door_is_lockable__025,enum
52,accessibilityElevator,The_entrance_door_is_lockable__026,enum
53,accessibilitySpecialsanitary,The_entrance_door_is_lockable__027,enum
54,safetyLockwindows,The_entrance_door_is_lockable_001,enum
55,housingEasyaccess,The_housing_unit_is_not_isolat,enum
56,housingNeigbourhood,The_housing_unit_is_not_isolat_001,enum
57,housingBasement,The_housing_unit_is_not_locate,enum
58,housingunittype,The_housing_unit_is_please_se,enum
59,namestaffVerification,Staff_name_and_surname,text
